"","Stream start time","End time","Stream length","Avg Viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 21st September 2017 21:15","Friday 22nd September 2017 00:15","13","4636","5390","36","2.77","5984","460.31","GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Crossout|Crossout|https://static-cdn.jtvnw.net/ttv-boxart/Crossout-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Pinturillo 2|Pinturillo_2|https://static-cdn.jtvnw.net/ttv-boxart/Pinturillo%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Wednesday 20th September 2017 21:15","Thursday 21st September 2017 00:00","12","5245","5988","49","4.08","4881","406.75","GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Tower Unite|Tower_Unite|https://static-cdn.jtvnw.net/ttv-boxart/Tower%20Unite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Quiplash|Quiplash|https://static-cdn.jtvnw.net/ttv-boxart/Quiplash-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Tuesday 19th September 2017 20:45","Tuesday 19th September 2017 23:15","11","2718","3319","48","4.36","2160","196.36","Life Is Strange|Life_Is_Strange|https://static-cdn.jtvnw.net/ttv-boxart/Life%20Is%20Strange-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Monday 18th September 2017 22:15","Tuesday 19th September 2017 01:15","13","4911","5325","45","3.46","4793","368.69","Ben and Ed: Blood Party|Ben_and_Ed_Blood_Party|https://static-cdn.jtvnw.net/ttv-boxart/Ben%20and%20Ed:%20Blood%20Party-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|GoldenEye: Source|GoldenEye_Source|https://static-cdn.jtvnw.net/ttv-boxart/GoldenEye:%20Source-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|London 2012 - The Official Video Game of the Olympic Games|London_2012_-_The_Official_Video_Game_of_the_Olympic_Games|https://static-cdn.jtvnw.net/ttv-boxart/London%202012%20-%20The%20Official%20Video%20Game%20of%20the%20Olympic%20Games-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Sunday 17th September 2017 20:30","Sunday 17th September 2017 23:30","13","3074","3527","97","7.46","3380","260","Fallout 3|Fallout_3|https://static-cdn.jtvnw.net/ttv-boxart/Fallout%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Thursday 14th September 2017 21:15","Friday 15th September 2017 00:15","13","4562","5363","51","3.92","4818","370.62","The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Wednesday 13th September 2017 21:15","Thursday 14th September 2017 00:15","13","4596","5601","48","3.69","6174","474.92","Tooth and Tail|Tooth_and_Tail|https://static-cdn.jtvnw.net/ttv-boxart/Tooth%20and%20Tail-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Quiplash|Quiplash|https://static-cdn.jtvnw.net/ttv-boxart/Quiplash-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sonic & All-Stars Racing Transformed|Sonic_and_All-Stars_Racing_Transformed|https://static-cdn.jtvnw.net/ttv-boxart/Sonic%20&%20All-Stars%20Racing%20Transformed-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Tuesday 12th September 2017 20:15","Tuesday 12th September 2017 23:00","12","2557","2980","52","4.33","3881","323.42","Life Is Strange|Life_Is_Strange|https://static-cdn.jtvnw.net/ttv-boxart/Life%20Is%20Strange-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Cook, Serve, Delicious! 2!!|Cook_Serve_Delicious_2_|https://static-cdn.jtvnw.net/ttv-boxart/Cook,%20Serve,%20Delicious%21%202%21%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Monday 11th September 2017 22:00","Tuesday 12th September 2017 01:15","14","4683","5555","89","6.36","3478","248.43","Rock of Ages II: Bigger & Boulder|Rock_of_Ages_II_Bigger_and_Boulder|https://static-cdn.jtvnw.net/ttv-boxart/Rock%20of%20Ages%20II:%20Bigger%20&%20Boulder-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Golf It!|Golf_It_|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20It%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|GoldenEye: Source|GoldenEye_Source|https://static-cdn.jtvnw.net/ttv-boxart/GoldenEye:%20Source-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Sunday 10th September 2017 20:30","Sunday 10th September 2017 23:30","13","3304","3604","174","13.38","5416","416.62","Fallout 3|Fallout_3|https://static-cdn.jtvnw.net/ttv-boxart/Fallout%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
