"","Stream start time","End time","Stream length","Avg Viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"11","Thursday 7th September 2017 21:15","Friday 8th September 2017 00:30","14","4498","5639","81","5.79","6323","451.64","GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|StarCraft II|StarCraft_II|https://static-cdn.jtvnw.net/ttv-boxart/StarCraft%20II-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rock of Ages II: Bigger & Boulder|Rock_of_Ages_II_Bigger_and_Boulder|https://static-cdn.jtvnw.net/ttv-boxart/Rock%20of%20Ages%20II:%20Bigger%20&%20Boulder-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Wednesday 6th September 2017 21:15","Thursday 7th September 2017 00:15","13","5153","5872","110","8.46","5880","452.31","The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Quiplash|Quiplash|https://static-cdn.jtvnw.net/ttv-boxart/Quiplash-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Golf It!|Golf_It_|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20It%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Wednesday 6th September 2017 00:45","Wednesday 6th September 2017 04:00","14","2731","3039","31","2.21","2102","150.14","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Wednesday 30th August 2017 21:15","Thursday 31st August 2017 00:15","13","3334","4977","23","1.77","1818","139.85","Tower Unite|Tower_Unite|https://static-cdn.jtvnw.net/ttv-boxart/Tower%20Unite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ball 3D|Ball_3D|https://static-cdn.jtvnw.net/ttv-boxart/Ball%203D-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Tuesday 29th August 2017 20:15","Tuesday 29th August 2017 23:30","14","2554","3062","55","3.93","3943","281.64","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Monday 28th August 2017 22:15","Tuesday 29th August 2017 01:15","13","5767","6405","140","10.77","5398","415.23","Golf It!|Golf_It_|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20It%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rock of Ages II: Bigger & Boulder|Rock_of_Ages_II_Bigger_and_Boulder|https://static-cdn.jtvnw.net/ttv-boxart/Rock%20of%20Ages%20II:%20Bigger%20&%20Boulder-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Quiplash|Quiplash|https://static-cdn.jtvnw.net/ttv-boxart/Quiplash-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"17","Sunday 27th August 2017 20:15","Sunday 27th August 2017 23:15","13","3857","4295","265","20.38","7595","584.23","Fallout 3|Fallout_3|https://static-cdn.jtvnw.net/ttv-boxart/Fallout%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"18","Thursday 24th August 2017 21:15","Friday 25th August 2017 00:15","13","4715","5751","91","7","5400","415.38","Passpartout: The Starving Artist|Passpartout_The_Starving_Artist|https://static-cdn.jtvnw.net/ttv-boxart/Passpartout:%20The%20Starving%20Artist-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Pictionary|Pictionary|https://static-cdn.jtvnw.net/ttv-boxart/Pictionary-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Party Panic|Party_Panic|https://static-cdn.jtvnw.net/ttv-boxart/Party%20Panic-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"19","Wednesday 23rd August 2017 21:15","Thursday 24th August 2017 00:15","13","5214","6185","170","13.08","5962","458.62","Super Blood Hockey|Super_Blood_Hockey|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Blood%20Hockey-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Absolver|Absolver|https://static-cdn.jtvnw.net/ttv-boxart/Absolver-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Golf It!|Golf_It_|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20It%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"20","Tuesday 22nd August 2017 20:30","Tuesday 22nd August 2017 23:45","14","3576","4089","133","9.5","6584","470.29","Absolver|Absolver|https://static-cdn.jtvnw.net/ttv-boxart/Absolver-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Super Blood Hockey|Super_Blood_Hockey|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Blood%20Hockey-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Dauntless|Dauntless|https://static-cdn.jtvnw.net/ttv-boxart/Dauntless-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"21","Monday 21st August 2017 22:15","Tuesday 22nd August 2017 01:15","13","4797","5347","95","7.31","5065","389.62","Fire Pro Wrestling World|Fire_Pro_Wrestling_World|https://static-cdn.jtvnw.net/ttv-boxart/Fire%20Pro%20Wrestling%20World-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ben and Ed: Blood Party|Ben_and_Ed_Blood_Party|https://static-cdn.jtvnw.net/ttv-boxart/Ben%20and%20Ed:%20Blood%20Party-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"22","Sunday 20th August 2017 20:15","Sunday 20th August 2017 23:15","13","3920","4388","325","25","4417","339.77","Fallout 3|Fallout_3|https://static-cdn.jtvnw.net/ttv-boxart/Fallout%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"23","Thursday 17th August 2017 21:15","Friday 18th August 2017 00:15","13","5214","6075","108","8.31","5365","412.69","GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Golf It!|Golf_It_|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20It%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"24","Wednesday 16th August 2017 21:15","Thursday 17th August 2017 00:30","14","4681","5250","116","8.29","5823","415.93","Nidhogg II|Nidhogg_II|https://static-cdn.jtvnw.net/ttv-boxart/Nidhogg%20II-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Pictionary: Ultimate Edition|Pictionary_Ultimate_Edition|https://static-cdn.jtvnw.net/ttv-boxart/Pictionary:%20Ultimate%20Edition-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|SpeedRunners|SpeedRunners|https://static-cdn.jtvnw.net/ttv-boxart/SpeedRunners-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"25","Tuesday 15th August 2017 20:15","Tuesday 15th August 2017 23:15","13","2514","3343","84","6.46","3798","292.15","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"26","Monday 14th August 2017 22:15","Tuesday 15th August 2017 01:15","13","5294","6094","156","12","4971","382.38","HITMAN|HITMAN|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|London 2012 - The Official Video Game of the Olympic Games|London_2012_-_The_Official_Video_Game_of_the_Olympic_Games|https://static-cdn.jtvnw.net/ttv-boxart/London%202012%20-%20The%20Official%20Video%20Game%20of%20the%20Olympic%20Games-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ben and Ed: Blood Party|Ben_and_Ed_Blood_Party|https://static-cdn.jtvnw.net/ttv-boxart/Ben%20and%20Ed:%20Blood%20Party-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"27","Sunday 13th August 2017 20:30","Sunday 13th August 2017 23:45","14","4821","5714","429","30.64","4866","347.57","Fallout 3|Fallout_3|https://static-cdn.jtvnw.net/ttv-boxart/Fallout%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"28","Friday 11th August 2017 20:15","Friday 11th August 2017 23:15","13","2706","3351","73","5.62","3784","291.08","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"29","Thursday 10th August 2017 21:15","Friday 11th August 2017 00:15","13","4374","5301","99","7.62","5089","391.46","Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Who Wants To Be A Millionaire|Who_Wants_To_Be_A_Millionaire|https://static-cdn.jtvnw.net/ttv-boxart/Who%20Wants%20To%20Be%20A%20Millionaire-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|GoldenEye: Source|GoldenEye_Source|https://static-cdn.jtvnw.net/ttv-boxart/GoldenEye:%20Source-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Tower Unite|Tower_Unite|https://static-cdn.jtvnw.net/ttv-boxart/Tower%20Unite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"30","Monday 7th August 2017 22:15","Tuesday 8th August 2017 01:15","13","5453","6025","189","14.54","6552","504","Passpartout: The Starving Artist|Passpartout_The_Starving_Artist|https://static-cdn.jtvnw.net/ttv-boxart/Passpartout:%20The%20Starving%20Artist-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Witch It|Witch_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/Witch%20It-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"31","Sunday 6th August 2017 20:15","Sunday 6th August 2017 23:00","12","4167","5214","294","24.5","6734","561.17","Mario Kart 8|Mario_Kart_8|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Kart%208-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Until Dawn|Until_Dawn|https://static-cdn.jtvnw.net/ttv-boxart/Until%20Dawn-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"32","Thursday 3rd August 2017 21:15","Friday 4th August 2017 00:15","13","4518","5350","177","13.62","5771","443.92","The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Golf With Your Friends|Golf_With_Your_Friends|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20With%20Your%20Friends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"33","Wednesday 2nd August 2017 21:15","Thursday 3rd August 2017 00:15","13","4851","5444","174","13.38","5580","429.23","Tricky Towers|Tricky_Towers|https://static-cdn.jtvnw.net/ttv-boxart/Tricky%20Towers-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|London 2012 - The Official Video Game of the Olympic Games|London_2012_-_The_Official_Video_Game_of_the_Olympic_Games|https://static-cdn.jtvnw.net/ttv-boxart/London%202012%20-%20The%20Official%20Video%20Game%20of%20the%20Olympic%20Games-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sonic & All-Stars Racing Transformed|Sonic_and_All-Stars_Racing_Transformed|https://static-cdn.jtvnw.net/ttv-boxart/Sonic%20&%20All-Stars%20Racing%20Transformed-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"34","Tuesday 1st August 2017 20:15","Tuesday 1st August 2017 23:45","15","2974","3786","111","7.4","4700","313.33","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"35","Monday 31st July 2017 22:15","Tuesday 1st August 2017 01:30","14","5714","6521","157","11.21","6802","485.86","Ben and Ed: Blood Party|Ben_and_Ed_Blood_Party|https://static-cdn.jtvnw.net/ttv-boxart/Ben%20and%20Ed:%20Blood%20Party-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Quiplash|Quiplash|https://static-cdn.jtvnw.net/ttv-boxart/Quiplash-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ball 3D|Ball_3D|https://static-cdn.jtvnw.net/ttv-boxart/Ball%203D-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"36","Sunday 30th July 2017 20:15","Sunday 30th July 2017 23:00","12","4787","5577","193","16.08","4462","371.83","Until Dawn|Until_Dawn|https://static-cdn.jtvnw.net/ttv-boxart/Until%20Dawn-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"37","Thursday 27th July 2017 21:15","Friday 28th July 2017 00:00","12","4586","5195","200","16.67","6059","504.92","Fortnite|Fortnite|https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Gang Beasts|Gang_Beasts|https://static-cdn.jtvnw.net/ttv-boxart/Gang%20Beasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Golf It!|Golf_It_|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20It%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"38","Wednesday 26th July 2017 22:00","Thursday 27th July 2017 01:15","14","5361","5815","126","9","5140","367.14","Ball 3D|Ball_3D|https://static-cdn.jtvnw.net/ttv-boxart/Ball%203D-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Cannon Brawl|Cannon_Brawl|https://static-cdn.jtvnw.net/ttv-boxart/Cannon%20Brawl-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|GoldenEye: Source|GoldenEye_Source|https://static-cdn.jtvnw.net/ttv-boxart/GoldenEye:%20Source-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"39","Tuesday 25th July 2017 22:30","Wednesday 26th July 2017 01:00","11","2920","3299","99","9","2445","222.27","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"40","Monday 24th July 2017 22:15","Tuesday 25th July 2017 01:15","13","5494","6383","172","13.23","5543","426.38","HITMAN|HITMAN|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Tower Unite|Tower_Unite|https://static-cdn.jtvnw.net/ttv-boxart/Tower%20Unite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ben and Ed: Blood Party|Ben_and_Ed_Blood_Party|https://static-cdn.jtvnw.net/ttv-boxart/Ben%20and%20Ed:%20Blood%20Party-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"41","Sunday 23rd July 2017 20:45","Sunday 23rd July 2017 23:30","12","4943","5588","230","19.17","4386","365.5","Until Dawn|Until_Dawn|https://static-cdn.jtvnw.net/ttv-boxart/Until%20Dawn-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"42","Saturday 22nd July 2017 02:15","Saturday 22nd July 2017 04:45","11","1548","1794","82","7.45","4613","419.36","Gigantic|Gigantic|https://static-cdn.jtvnw.net/ttv-boxart/Gigantic-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"43","Thursday 20th July 2017 21:15","Friday 21st July 2017 00:00","12","5142","5632","162","13.5","5316","443","Golf With Your Friends|Golf_With_Your_Friends|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20With%20Your%20Friends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ben and Ed: Blood Party|Ben_and_Ed_Blood_Party|https://static-cdn.jtvnw.net/ttv-boxart/Ben%20and%20Ed:%20Blood%20Party-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"44","Wednesday 19th July 2017 21:15","Thursday 20th July 2017 00:30","14","5326","6053","129","9.21","6535","466.79","Ben and Ed: Blood Party|Ben_and_Ed_Blood_Party|https://static-cdn.jtvnw.net/ttv-boxart/Ben%20and%20Ed:%20Blood%20Party-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|London 2012 - The Official Video Game of the Olympic Games|London_2012_-_The_Official_Video_Game_of_the_Olympic_Games|https://static-cdn.jtvnw.net/ttv-boxart/London%202012%20-%20The%20Official%20Video%20Game%20of%20the%20Olympic%20Games-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"45","Monday 17th July 2017 22:15","Tuesday 18th July 2017 01:00","12","4986","5605","250","20.83","6493","541.08","HITMAN|HITMAN|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Serious Sam's Bogus Detour|Serious_Sams_Bogus_Detour|https://static-cdn.jtvnw.net/ttv-boxart/Serious%20Sam%27s%20Bogus%20Detour-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Passpartout: The Starving Artist|Passpartout_The_Starving_Artist|https://static-cdn.jtvnw.net/ttv-boxart/Passpartout:%20The%20Starving%20Artist-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"46","Sunday 16th July 2017 20:15","Sunday 16th July 2017 23:15","13","2286","2783","52","4","2427","186.69","RimWorld|RimWorld|https://static-cdn.jtvnw.net/ttv-boxart/RimWorld-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"47","Thursday 13th July 2017 21:00","Friday 14th July 2017 00:15","14","4535","5848","185","13.21","6759","482.79","Passpartout: The Starving Artist|Passpartout_The_Starving_Artist|https://static-cdn.jtvnw.net/ttv-boxart/Passpartout:%20The%20Starving%20Artist-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Tower Unite|Tower_Unite|https://static-cdn.jtvnw.net/ttv-boxart/Tower%20Unite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"48","Wednesday 12th July 2017 21:15","Thursday 13th July 2017 00:15","13","5243","5983","150","11.54","10242","787.85","The End is Nigh|The_End_is_Nigh|https://static-cdn.jtvnw.net/ttv-boxart/The%20End%20is%20Nigh-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Passpartout: The Starving Artist|Passpartout_The_Starving_Artist|https://static-cdn.jtvnw.net/ttv-boxart/Passpartout:%20The%20Starving%20Artist-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"49","Tuesday 11th July 2017 20:00","Wednesday 12th July 2017 00:00","17","2972","3888","149","8.76","5346","314.47","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
