"","Stream start time","End time","Stream length","Avg Viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"139","Thursday 26th January 2017 23:15","Friday 27th January 2017 02:00","12","5804","6611","36","3","5792","482.67","Pictionary|Pictionary|https://static-cdn.jtvnw.net/ttv-boxart/Pictionary-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Disc Jam|Disc_Jam|https://static-cdn.jtvnw.net/ttv-boxart/Disc%20Jam-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Enter the Gungeon|Enter_the_Gungeon|https://static-cdn.jtvnw.net/ttv-boxart/Enter%20the%20Gungeon-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"140","Wednesday 25th January 2017 22:15","Thursday 26th January 2017 01:00","12","6772","7702","54","4.5","6710","559.17","Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"141","Tuesday 24th January 2017 01:30","Tuesday 24th January 2017 02:15","6","6345","9012","20","3.33","8121","1353.5","Space Beast Terror Fright|Space_Beast_Terror_Fright|https://static-cdn.jtvnw.net/ttv-boxart/Space%20Beast%20Terror%20Fright-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"142","Monday 23rd January 2017 23:15","Tuesday 24th January 2017 01:00","11","7750","9012","92","8.36","12865","1169.55","Who Wants To Be A Millionaire?|Who_Wants_To_Be_A_Millionaire_|https://static-cdn.jtvnw.net/ttv-boxart/Who%20Wants%20To%20Be%20A%20Millionaire%3F-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Scribblenauts Unlimited|Scribblenauts_Unlimited|https://static-cdn.jtvnw.net/ttv-boxart/Scribblenauts%20Unlimited-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"143","Sunday 22nd January 2017 21:15","Monday 23rd January 2017 00:15","13","3206","3598","59","4.54","7330","563.85","The Witcher 3: Wild Hunt|The_Witcher_3_Wild_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/The%20Witcher%203:%20Wild%20Hunt-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"144","Thursday 19th January 2017 23:15","Friday 20th January 2017 02:00","12","7618","9180","119","9.92","10207","850.58","Golf With Your Friends|Golf_With_Your_Friends|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20With%20Your%20Friends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Who Wants To Be A Millionaire: UK Edition|Who_Wants_To_Be_A_Millionaire_UK_Edition|https://static-cdn.jtvnw.net/ttv-boxart/Who%20Wants%20To%20Be%20A%20Millionaire:%20UK%20Edition-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"145","Wednesday 18th January 2017 22:15","Thursday 19th January 2017 01:15","13","6695","7419","129","9.92","11058","850.62","Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"146","Monday 16th January 2017 23:15","Tuesday 17th January 2017 02:15","13","8204","9526","158","12.15","14836","1141.23","The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Disc Jam|Disc_Jam|https://static-cdn.jtvnw.net/ttv-boxart/Disc%20Jam-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"147","Sunday 15th January 2017 22:30","Monday 16th January 2017 00:30","11","3650","3965","71","6.45","12321","1120.09","The Witcher 3: Wild Hunt|The_Witcher_3_Wild_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/The%20Witcher%203:%20Wild%20Hunt-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"148","Sunday 15th January 2017 21:15","Sunday 15th January 2017 22:00","7","3161","3761","30","4.29","10369","1481.29","The Witcher 3: Wild Hunt|The_Witcher_3_Wild_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/The%20Witcher%203:%20Wild%20Hunt-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"149","Thursday 12th January 2017 23:15","Friday 13th January 2017 02:15","13","7193","7856","108","8.31","11611","893.15","The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Dead by Daylight|Dead_by_Daylight|https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"150","Wednesday 11th January 2017 22:15","Thursday 12th January 2017 01:30","14","6963","8179","106","7.57","11000","785.71","Gang Beasts|Gang_Beasts|https://static-cdn.jtvnw.net/ttv-boxart/Gang%20Beasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Disc Jam|Disc_Jam|https://static-cdn.jtvnw.net/ttv-boxart/Disc%20Jam-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"151","Monday 9th January 2017 23:15","Tuesday 10th January 2017 02:00","12","7986","9229","119","9.92","9391","782.58","London 2012 - The Official Video Game of the Olympic Games|London_2012_-_The_Official_Video_Game_of_the_Olympic_Games|https://static-cdn.jtvnw.net/ttv-boxart/London%202012%20-%20The%20Official%20Video%20Game%20of%20the%20Olympic%20Games-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Disc Jam|Disc_Jam|https://static-cdn.jtvnw.net/ttv-boxart/Disc%20Jam-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"152","Sunday 8th January 2017 21:30","Monday 9th January 2017 00:30","13","4648","4963","129","9.92","12764","981.85","The Witcher 3: Wild Hunt|The_Witcher_3_Wild_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/The%20Witcher%203:%20Wild%20Hunt-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"153","Thursday 5th January 2017 23:15","Friday 6th January 2017 02:15","13","7994","9190","117","9","8497","653.62","The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Gang Beasts|Gang_Beasts|https://static-cdn.jtvnw.net/ttv-boxart/Gang%20Beasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"154","Wednesday 4th January 2017 22:15","Thursday 5th January 2017 01:00","12","7779","9636","172","14.33","17681","1473.42","Pictionary|Pictionary|https://static-cdn.jtvnw.net/ttv-boxart/Pictionary-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Redout|Redout|https://static-cdn.jtvnw.net/ttv-boxart/Redout-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"155","Wednesday 4th January 2017 00:30","Wednesday 4th January 2017 04:30","17","14806","17249","1581","93","34987","2058.06","The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"156","Monday 2nd January 2017 23:15","Tuesday 3rd January 2017 02:15","13","7483","8869","118","9.08","12236","941.23","Duck Game|Duck_Game|https://static-cdn.jtvnw.net/ttv-boxart/Duck%20Game-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Space Beast Terror Fright|Space_Beast_Terror_Fright|https://static-cdn.jtvnw.net/ttv-boxart/Space%20Beast%20Terror%20Fright-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Rebirth|The_Binding_of_Isaac_Rebirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Rebirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"157","Sunday 1st January 2017 21:15","Monday 2nd January 2017 00:30","14","6316","7937","290","20.71","12084","863.14","The Binding of Isaac: Rebirth|The_Binding_of_Isaac_Rebirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Rebirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"158","Thursday 29th December 2016 23:15","Friday 30th December 2016 02:15","13","6714","7418","120","9.23","8856","681.23","The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Hearthstone|Hearthstone_Heroes_of_Warcraft|https://static-cdn.jtvnw.net/ttv-boxart/Hearthstone-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Rebirth|The_Binding_of_Isaac_Rebirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Rebirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"159","Wednesday 28th December 2016 22:15","Thursday 29th December 2016 01:00","12","6668","7545","68","5.67","8027","668.92","Pictionary|Pictionary|https://static-cdn.jtvnw.net/ttv-boxart/Pictionary-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Rebirth|The_Binding_of_Isaac_Rebirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Rebirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"160","Monday 26th December 2016 23:15","Tuesday 27th December 2016 02:15","13","6746","7737","100","7.69","7584","583.38","The Binding of Isaac: Rebirth|The_Binding_of_Isaac_Rebirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Rebirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"161","Sunday 25th December 2016 21:30","Monday 26th December 2016 00:15","12","4912","6298","131","10.92","7001","583.42","The Binding of Isaac: Rebirth|The_Binding_of_Isaac_Rebirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Rebirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"162","Thursday 22nd December 2016 23:15","Friday 23rd December 2016 02:30","14","5537","7366","87","6.21","16048","1146.29","H1Z1: King of the Kill|H1Z1_King_of_the_Kill|https://static-cdn.jtvnw.net/ttv-boxart/H1Z1:%20King%20of%20the%20Kill-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Gang Beasts|Gang_Beasts|https://static-cdn.jtvnw.net/ttv-boxart/Gang%20Beasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"163","Wednesday 21st December 2016 22:30","Thursday 22nd December 2016 01:15","12","7318","8017","179","14.92","12651","1054.25","Friday the 13th: The Game|Friday_the_13th_The_Game|https://static-cdn.jtvnw.net/ttv-boxart/Friday%20the%2013th:%20The%20Game-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Rebirth|The_Binding_of_Isaac_Rebirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Rebirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"164","Monday 19th December 2016 23:15","Tuesday 20th December 2016 02:30","14","5713","6719","100","7.14","8928","637.71","H1Z1: King of the Kill|H1Z1_King_of_the_Kill|https://static-cdn.jtvnw.net/ttv-boxart/H1Z1:%20King%20of%20the%20Kill-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Astroneer|Astroneer|https://static-cdn.jtvnw.net/ttv-boxart/Astroneer-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"165","Sunday 18th December 2016 21:15","Monday 19th December 2016 00:00","12","3459","4103","28","2.33","4816","401.33","Hearthstone|Hearthstone_Heroes_of_Warcraft|https://static-cdn.jtvnw.net/ttv-boxart/Hearthstone-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|HITMAN|HITMAN|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"166","Thursday 15th December 2016 23:15","Friday 16th December 2016 02:00","12","5404","6108","33","2.75","10099","841.58","The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|H1Z1: King of the Kill|H1Z1_King_of_the_Kill|https://static-cdn.jtvnw.net/ttv-boxart/H1Z1:%20King%20of%20the%20Kill-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"167","Wednesday 14th December 2016 23:15","Thursday 15th December 2016 02:15","13","5519","6451","119","9.15","10016","770.46","Dead by Daylight|Dead_by_Daylight|https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Gang Beasts|Gang_Beasts|https://static-cdn.jtvnw.net/ttv-boxart/Gang%20Beasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"168","Monday 12th December 2016 23:00","Tuesday 13th December 2016 02:15","14","5303","6339","52","3.71","7932","566.57","Duck Game|Duck_Game|https://static-cdn.jtvnw.net/ttv-boxart/Duck%20Game-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Tricky Towers|Tricky_Towers|https://static-cdn.jtvnw.net/ttv-boxart/Tricky%20Towers-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"169","Sunday 11th December 2016 21:30","Monday 12th December 2016 00:15","12","3700","4149","52","4.33","4488","374","HITMAN|HITMAN|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"170","Thursday 8th December 2016 23:15","Friday 9th December 2016 02:15","13","5379","5990","32","2.46","7183","552.54","Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"171","Wednesday 7th December 2016 22:15","Thursday 8th December 2016 01:00","12","5192","6118","62","5.17","9167","763.92","London 2012 - The Official Video Game of the Olympic Games|London_2012_-_The_Official_Video_Game_of_the_Olympic_Games|https://static-cdn.jtvnw.net/ttv-boxart/London%202012%20-%20The%20Official%20Video%20Game%20of%20the%20Olympic%20Games-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Tricky Towers|Tricky_Towers|https://static-cdn.jtvnw.net/ttv-boxart/Tricky%20Towers-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"172","Tuesday 6th December 2016 23:15","Wednesday 7th December 2016 02:00","12","5748","9752","72","6","11984","998.67","The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Move or Die|Move_or_Die|https://static-cdn.jtvnw.net/ttv-boxart/Move%20or%20Die-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"173","Monday 5th December 2016 23:15","Tuesday 6th December 2016 02:15","13","5425","6291","59","4.54","13792","1060.92","Golf With Your Friends|Golf_With_Your_Friends|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20With%20Your%20Friends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Bombernauts|Bombernauts|https://static-cdn.jtvnw.net/ttv-boxart/Bombernauts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"174","Sunday 4th December 2016 21:15","Monday 5th December 2016 00:15","13","4398","5549","48","3.69","7139","549.15","Hearthstone|Hearthstone_Heroes_of_Warcraft|https://static-cdn.jtvnw.net/ttv-boxart/Hearthstone-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|HITMAN|HITMAN|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"175","Friday 2nd December 2016 22:15","Saturday 3rd December 2016 04:45","27","4088","5952","105","3.89","18012","667.11","Talk Shows|Gaming_Talk_Shows|https://static-cdn.jtvnw.net/ttv-boxart/Talk%20Shows-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"176","Friday 2nd December 2016 21:30","Friday 2nd December 2016 21:30","1","702","702","0","0","0","0","Duck Game|Duck_Game|https://static-cdn.jtvnw.net/ttv-boxart/Duck%20Game-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"177","Thursday 1st December 2016 23:45","Thursday 1st December 2016 23:45","1","464","464","0","0","0","0","Duck Game|Duck_Game|https://static-cdn.jtvnw.net/ttv-boxart/Duck%20Game-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"178","Wednesday 30th November 2016 21:15","Thursday 1st December 2016 00:00","12","4406","5474","54","4.5","8142","678.5","Duck Game|Duck_Game|https://static-cdn.jtvnw.net/ttv-boxart/Duck%20Game-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Gang Beasts|Gang_Beasts|https://static-cdn.jtvnw.net/ttv-boxart/Gang%20Beasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"179","Monday 28th November 2016 23:15","Tuesday 29th November 2016 02:15","13","6025","6609","44","3.38","10462","804.77","The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Dead by Daylight|Dead_by_Daylight|https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Tricky Towers|Tricky_Towers|https://static-cdn.jtvnw.net/ttv-boxart/Tricky%20Towers-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"180","Sunday 27th November 2016 21:15","Monday 28th November 2016 00:00","12","3891","4566","40","3.33","5554","462.83","HITMAN|HITMAN|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"181","Thursday 24th November 2016 23:15","Friday 25th November 2016 02:00","12","4386","5159","25","2.08","5222","435.17","Keep Talking and Nobody Explodes|Keep_Talking_and_Nobody_Explodes|https://static-cdn.jtvnw.net/ttv-boxart/Keep%20Talking%20and%20Nobody%20Explodes-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|London 2012 - The Official Video Game of the Olympic Games|London_2012_-_The_Official_Video_Game_of_the_Olympic_Games|https://static-cdn.jtvnw.net/ttv-boxart/London%202012%20-%20The%20Official%20Video%20Game%20of%20the%20Olympic%20Games-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"182","Wednesday 23rd November 2016 22:15","Thursday 24th November 2016 01:15","13","4637","5598","39","3","6825","525","Pictionary|Pictionary|https://static-cdn.jtvnw.net/ttv-boxart/Pictionary-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"183","Monday 21st November 2016 23:15","Tuesday 22nd November 2016 02:15","13","5976","6910","121","9.31","10892","837.85","Golf With Your Friends|Golf_With_Your_Friends|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20With%20Your%20Friends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Gang Beasts|Gang_Beasts|https://static-cdn.jtvnw.net/ttv-boxart/Gang%20Beasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"184","Sunday 20th November 2016 21:15","Monday 21st November 2016 00:00","12","3671","4134","40","3.33","3583","298.58","HITMAN|HITMAN|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"185","Thursday 17th November 2016 23:15","Friday 18th November 2016 02:15","13","5263","5829","25","1.92","6187","475.92","The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Runbow|Runbow|https://static-cdn.jtvnw.net/ttv-boxart/Runbow-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"186","Wednesday 16th November 2016 22:15","Thursday 17th November 2016 01:15","13","4865","5631","68","5.23","9263","712.54","Golf With Your Friends|Golf_With_Your_Friends|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20With%20Your%20Friends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Worms W.M.D|Worms_W.M.D|https://static-cdn.jtvnw.net/ttv-boxart/Worms%20W.M.D-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
