"","Stream start time","End time","Stream length","Avg Viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"114","Thursday 16th March 2017 22:15","Friday 17th March 2017 01:00","12","4741","5065","26","2.17","6184","515.33","Disc Jam|Disc_Jam|https://static-cdn.jtvnw.net/ttv-boxart/Disc%20Jam-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Golf It!|Golf_It_|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20It%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"115","Wednesday 15th March 2017 21:15","Thursday 16th March 2017 00:15","13","5655","6568","30","2.31","6494","499.54","Golf It!|Golf_It_|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20It%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"116","Wednesday 8th March 2017 22:15","Thursday 9th March 2017 01:15","13","5407","6089","67","5.15","8840","680","Gang Beasts|Gang_Beasts|https://static-cdn.jtvnw.net/ttv-boxart/Gang%20Beasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"117","Monday 6th March 2017 23:15","Tuesday 7th March 2017 02:15","13","6058","6653","29","2.23","6587","506.69","The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sonic & All-Stars Racing Transformed|Sonic_and_All-Stars_Racing_Transformed|https://static-cdn.jtvnw.net/ttv-boxart/Sonic%20&%20All-Stars%20Racing%20Transformed-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"118","Sunday 5th March 2017 21:15","Monday 6th March 2017 00:15","13","2476","2883","35","2.69","5099","392.23","The Witcher 3: Wild Hunt|The_Witcher_3_Wild_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/The%20Witcher%203:%20Wild%20Hunt-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"119","Thursday 2nd March 2017 23:00","Friday 3rd March 2017 02:15","14","5011","6114","26","1.86","7871","562.21","Pictionary: Ultimate Edition|Pictionary_Ultimate_Edition|https://static-cdn.jtvnw.net/ttv-boxart/Pictionary:%20Ultimate%20Edition-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Golf It!|Golf_It_|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20It%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"120","Wednesday 1st March 2017 22:15","Thursday 2nd March 2017 01:15","13","5894","6921","54","4.15","8931","687","London 2012 - The Official Video Game of the Olympic Games|London_2012_-_The_Official_Video_Game_of_the_Olympic_Games|https://static-cdn.jtvnw.net/ttv-boxart/London%202012%20-%20The%20Official%20Video%20Game%20of%20the%20Olympic%20Games-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"121","Monday 27th February 2017 23:15","Tuesday 28th February 2017 02:15","13","6247","6992","68","5.23","9379","721.46","Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"122","Sunday 26th February 2017 21:30","Monday 27th February 2017 00:15","12","2933","3242","60","5","5531","460.92","The Witcher 3: Wild Hunt|The_Witcher_3_Wild_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/The%20Witcher%203:%20Wild%20Hunt-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"123","Thursday 23rd February 2017 23:00","Friday 24th February 2017 02:00","13","5085","6097","37","2.85","8615","662.69","The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Pictionary|Pictionary|https://static-cdn.jtvnw.net/ttv-boxart/Pictionary-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Disc Jam|Disc_Jam|https://static-cdn.jtvnw.net/ttv-boxart/Disc%20Jam-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"124","Wednesday 22nd February 2017 22:15","Thursday 23rd February 2017 01:15","13","6508","7583","47","3.62","8639","664.54","For Honor|For_Honor|https://static-cdn.jtvnw.net/ttv-boxart/For%20Honor-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Golf It!|Golf_It_|https://static-cdn.jtvnw.net/ttv-boxart/Golf%20It%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"125","Monday 20th February 2017 23:15","Tuesday 21st February 2017 02:15","13","6985","7864","79","6.08","6962","535.54","The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Duck Game|Duck_Game|https://static-cdn.jtvnw.net/ttv-boxart/Duck%20Game-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"126","Sunday 19th February 2017 21:15","Monday 20th February 2017 00:15","13","2764","3293","24","1.85","5213","401","The Witcher 3: Wild Hunt|The_Witcher_3_Wild_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/The%20Witcher%203:%20Wild%20Hunt-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"127","Thursday 16th February 2017 23:15","Friday 17th February 2017 02:15","13","5859","6873","32","2.46","7441","572.38","Pictionary|Pictionary|https://static-cdn.jtvnw.net/ttv-boxart/Pictionary-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Jackbox Party Pack 3|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Binding of Isaac: Afterbirth|The_Binding_of_Isaac_Afterbirth|https://static-cdn.jtvnw.net/ttv-boxart/The%20Binding%20of%20Isaac:%20Afterbirth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"128","Wednesday 15th February 2017 22:15","Thursday 16th February 2017 01:15","13","5306","6401","36","2.77","7061","543.15","For Honor|For_Honor|https://static-cdn.jtvnw.net/ttv-boxart/For%20Honor-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Golf|Golf|https://static-cdn.jtvnw.net/ttv-boxart/Golf-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
