RowNum,StartTime,EndTime,ViewsGained,FollowersGained,MaxViewers,AverageViewers,FollowersPerHour,ViewsPerHour,LengthMinutes,GamesPlayed
40,2017-07-24 22:15:00.000,2017-07-25 01:15:00.000,5543,172,6383,5494,13.23,426.38,195,HITMAN|Ben and Ed: Blood Party|Tower Unite
41,2017-07-23 20:45:00.000,2017-07-23 23:30:00.000,4386,230,5588,4943,19.17,365.50,180,Until Dawn
42,2017-07-22 02:15:00.000,2017-07-22 04:45:00.000,4613,82,1794,1548,7.45,419.36,165,Gigantic
43,2017-07-20 21:15:00.000,2017-07-21 00:00:00.000,5316,162,5632,5142,13.50,443.00,180,Ben and Ed: Blood Party|Golf With Your Friends
44,2017-07-19 21:15:00.000,2017-07-20 00:30:00.000,6535,129,6053,5326,9.21,466.79,210,Ben and Ed: Blood Party|London 2012 - The Official Video Game of the Olympic Games|The Jackbox Party Pack 3
45,2017-07-17 22:15:00.000,2017-07-18 01:00:00.000,6493,250,5605,4986,20.83,541.08,180,HITMAN|Passpartout: The Starving Artist|Serious Sam's Bogus Detour
46,2017-07-16 20:15:00.000,2017-07-16 23:15:00.000,2427,52,2783,2286,4.00,186.69,195,RimWorld
47,2017-07-13 21:00:00.000,2017-07-14 00:15:00.000,6759,185,5848,4535,13.21,482.79,210,Passpartout: The Starving Artist|Ultimate Chicken Horse|Tower Unite
48,2017-07-12 21:15:00.000,2017-07-13 00:15:00.000,10242,150,5983,5243,11.54,787.85,195,The End is Nigh|Passpartout: The Starving Artist|The Jackbox Party Pack 3
49,2017-07-11 20:00:00.000,2017-07-12 00:00:00.000,5346,149,3888,2972,8.76,314.47,255,PLAYERUNKNOWN'S BATTLEGROUNDS
50,2017-07-10 22:15:00.000,2017-07-11 01:15:00.000,8908,213,5699,4846,16.38,685.23,195,HITMAN|Tower Unite|The Jackbox Party Pack 3
51,2017-07-09 20:15:00.000,2017-07-09 23:15:00.000,4811,100,3174,2827,7.69,370.08,195,RimWorld
52,2017-07-06 21:15:00.000,2017-07-07 00:00:00.000,6418,197,5009,4261,16.42,534.83,180,Passpartout: The Starving Artist|Duck Game|Golf It!
